x,y
7.465890289952974399e+02,6.449454124979374683e+02
7.419567280314514619e+02,6.490589389238506328e+02
7.371981417528511429e+02,6.529889447074184545e+02
7.296676252163099434e+02,6.530018086261627559e+02
7.221346620584075708e+02,6.530019831590938111e+02
7.145750201594238433e+02,6.529387189527039936e+02
7.082193579724812480e+02,6.557819065075100298e+02
7.019895946127847992e+02,6.589291943242137677e+02
6.953108838294074303e+02,6.609926269359937123e+02
6.882108889539656502e+02,6.620389897792468901e+02
6.825191916148864948e+02,6.664852836346472031e+02
6.760308579668370612e+02,6.690083273086515874e+02
6.684953887580757055e+02,6.690033621103398218e+02
6.618469021100580676e+02,6.711397622397635132e+02
6.565226929015208270e+02,6.764732509239302090e+02
6.511966462166349174e+02,6.818023035477729081e+02
6.458715884740512365e+02,6.871337436895364590e+02
6.405795502686850114e+02,6.925449000458709179e+02
6.334627183139626823e+02,6.935506145839771079e+02
6.275465621596766823e+02,6.974550169235660633e+02
6.222199787878284951e+02,7.027827738703642808e+02
6.168893783110630693e+02,7.081008326680459959e+02
6.110015094825923825e+02,7.120735267142114253e+02
6.047725418742863894e+02,7.152226465505699480e+02
5.984407585694416412e+02,7.183013366440965228e+02
5.953547888680025153e+02,7.246340411899209357e+02
5.921645181021131066e+02,7.308459657928466413e+02
5.890443448137463065e+02,7.370869601546295371e+02
5.860052718581937370e+02,7.433616847319915450e+02
5.823561885209707043e+02,7.490382469279370525e+02
5.751846305063993441e+02,7.499688492628508811e+02
5.727858663597959321e+02,7.564421300295498440e+02
5.661494622971248418e+02,7.587532379435381245e+02
5.635357154118107701e+02,7.650533585741568459e+02
5.560018124398749251e+02,7.650134742683472950e+02
5.499729098912742984e+02,7.677082323331543421e+02
5.490108032970415479e+02,7.748320169598605389e+02
5.489897918589231267e+02,7.823568906629534467e+02
5.448308258565265305e+02,7.881675714906704115e+02
5.395051626294012976e+02,7.934950215685489638e+02
5.341769815570219180e+02,7.988214295249398447e+02
5.288542455393837827e+02,8.041500924919517956e+02
5.235162214931023072e+02,8.094724232363006422e+02
5.181319658875306686e+02,8.147756050607658835e+02
5.169985260155223159e+02,8.218392247334251124e+02
5.169930548633469698e+02,8.293683997118974958e+02
5.122385344421948048e+02,8.337664052717442473e+02
5.060123646827241259e+02,8.369215231992343433e+02
5.001185616377447900e+02,8.408714563636315233e+02
4.947905099924321348e+02,8.462132319926072341e+02
4.894742473807468741e+02,8.515331898963715958e+02
4.850144054029123595e+02,8.572244279141769994e+02
4.819997298174200182e+02,8.635093498661324247e+02
4.789909361801204000e+02,8.697964791527922443e+02
4.770087945424187410e+02,8.765088655299275615e+02
4.741462744793162187e+02,8.828554474383846582e+02
4.688174096058272653e+02,8.881824884131257249e+02
4.634897206377154930e+02,8.935080906123220075e+02
4.581664682967902991e+02,8.988436895413560705e+02
4.528292628997410816e+02,9.041459153524776866e+02
4.473194202112986773e+02,9.090318278307822766e+02
4.402193374555670289e+02,9.100494127818923289e+02
4.370009670597732452e+02,9.155178696562411460e+02
4.369954262273168979e+02,9.230492063214416021e+02
4.351266593330531123e+02,9.298085453714417099e+02
4.299584130272937159e+02,9.352012021643985236e+02
4.289862208212558130e+02,9.423319196005306821e+02
