x_dense,y_spline,y_bptt
943.0020020020013,622.9581031064645,629.7406206637977
944.835835835835,623.9300605868933,630.8317344078298
946.6696696696688,625.0142386180113,631.926113365173
948.5035035035028,626.1715075276662,633.0236974058639
950.3373373373365,627.3997392070685,634.1244265999676
952.1711711711703,628.7033770270071,635.2282412173179
954.0050050050043,630.061524552701,636.3350817272506
955.838838838838,631.4927746004814,637.4448887983356
957.6726726726718,632.966554508515,638.5576032981189
959.5065065065057,634.4612680978552,639.6731662928576
961.3403403403395,635.9599500535162,640.7915190472531
963.1741741741732,637.4627213191116,641.9126030241885
965.0080080080072,638.9374464485073,643.0363598844638
966.841841841841,640.3796979164409,644.162731486533
968.6756756756749,641.8157776508347,645.2916598862398
970.5095095095087,643.1901459090748,646.423087336552
972.3433433433424,644.4891077847176,647.5569562873
974.1771771771764,645.7404555749971,648.6932093849102
976.0110110110102,646.9039149414882,649.831789472142
977.8448448448439,647.9603717499617,650.9726395878256
979.6786786786779,648.9716594290809,652.1157029665928
981.5125125125116,649.8797131888405,653.260923038619
983.3463463463454,650.75731678441,654.4082434293541
985.1801801801794,651.6008193546365,655.557607959264
987.0140140140131,652.4596148546432,656.7089606435591
988.8478478478469,653.3746330628622,657.8622456919359
990.6816816816809,654.3400469944843,659.0174075083107
992.5155155155146,655.4808827777532,660.1743906905592
994.3493493493486,656.7592428773487,661.3331400302468
996.1831831831823,658.1627720803066,662.493600512363
998.0170170170161,659.6737813608192,663.6557173150704
999.8508508508501,661.2541352729584,664.8194358094249
1001.6846846846838,662.912864164847,665.9847015591185
1003.5185185185176,664.620145655318,667.1514603202181
1005.3523523523515,666.3737808364266,668.3196580408967
1007.1861861861853,668.162739603013,669.4892408611724
1009.020020020019,669.939044334908,670.6601551126375
1010.853853853853,671.7276494477245,671.832347318207
1012.6876876876868,673.5303223850103,673.0057641918438
1014.5215215215208,675.2823166444938,674.1803526382978
1016.3553553553545,676.9940875055053,675.3560597528428
1018.1891891891883,678.6901029634885,676.5328328210137
1020.0230230230222,680.2995792621421,677.7106193183351
1021.856856856856,681.8480260029734,678.8893669100685
1023.6906906906897,683.3080781242681,680.0690234509398
1025.5245245245237,684.694906306747,681.2495369848773
1027.3583583583575,685.9571600639433,682.4308557447482
1029.1921921921912,687.1002018599121,683.612928152095
1031.0260260260252,688.1827682576098,684.7957028168728
1032.859859859859,689.235650188169,685.979128537178
1034.6936936936927,690.2658468767683,687.1631542989946
1036.5275275275267,691.3264359296431,688.3477292759235
1038.3613613613604,692.4113514563868,689.532802828918
1040.1951951951944,693.5585721398053,690.7183245060228
1042.0290290290282,694.8044155452799,691.9042440421085
1043.862862862862,696.0647881921378,693.0905113586109
1045.6966966966959,697.3768643084312,694.2770765632592
1047.5305305305296,698.7275886138113,695.4638899498163
1049.3643643643634,700.1150694971775,696.6509019978196
1051.1981981981974,701.5045736503372,697.8380633723098
1053.032032032031,702.9170407681014,699.0253249235689
1054.8658658658649,704.3671485757005,700.2126376868546
1056.6996996996988,705.7901731064961,701.3999528821425
1058.5335335335326,707.2046972047754,702.5872219138541
1060.3673673673663,708.6338235999305,703.7743963705991
1062.2012012012003,710.0340794297884,704.9614280249036
1064.035035035034,711.4052426587414,706.1482688329568
1065.868868868868,712.7440667702132,707.3348709343368
1067.7027027027018,714.0743038429936,708.521186651752
1069.5365365365356,715.3674843428275,709.7071684907787
1071.3703703703695,716.6196881584161,710.8927691395872
1073.2042042042033,717.8294848008101,712.0779414686926
1075.038038038037,719.0446664213264,713.2626385306758
1076.871871871871,720.185414563901,714.4468135599302
1078.7057057057048,721.3282344176615,715.6304199723936
1080.5395395395385,722.4533203411852,716.8134113652836
1082.3733733733725,723.5411178460403,717.9957415168315
1084.2072072072062,724.6459909310554,719.1773643860263
1086.04104104104,725.7076403767788,720.358234112342
1087.874874874874,726.7763113018605,721.5383050154769
1089.7087087087077,727.851889634137,722.7175315950885
1091.5425425425417,728.9042829267676,723.8958685305354
1093.3763763763754,729.9963460581035,725.0732706805982
1095.2102102102092,731.0655231780602,726.2496930832353
1097.0440440440432,732.1402382107192,727.4250909553041
1098.877877877877,733.1972559383493,728.5994196923009
1100.7117117117107,734.2434898787797,729.7726348681008
1102.5455455455447,735.3302481680705,730.9446922346881
1104.3793793793784,736.4313752472152,732.1155477218949
1106.2132132132122,737.55871347335,733.2851574371375
1108.0470470470461,738.7768524316208,734.4534776651503
1109.8808808808799,740.0798193448787,735.6204648677235
1111.7147147147139,741.4351313429404,736.7860756834384
1113.5485485485476,742.85087809902,737.9502669274029
1115.3823823823814,744.2802990708044,739.1129955909882
1117.2162162162153,745.7489590326293,740.2742188415643
1119.050050050049,747.2314136274193,741.4338940222365
1120.8838838838828,748.671350882184,742.5919786515815
1122.7177177177168,750.1311056360325,743.7484304233792
1124.5515515515506,751.5550009230232,744.9032072063544
1126.3853853853843,752.9247938149108,746.0562670439131
1128.2192192192183,754.2718986543159,747.2075681538699
1130.053053053052,755.5338849347381,748.3570689281937
1131.8868868868858,756.7372454086643,749.5047279327396
1133.7207207207198,757.8522910323994,750.6505039069832
1135.5545545545535,758.8728114780013,751.7943557637586
1137.3883883883875,759.8393182971365,752.9362425889947
1139.2222222222213,760.7169433836888,754.0761236414485
1141.056056056055,761.5260807766074,755.2139583524468
1142.889889889889,762.2780577396451,756.3497063256127
1144.7237237237227,762.9419847253617,757.4833273366119
1146.5575575575565,763.5742517323602,758.614781332881
1148.3913913913905,764.1907726789174,759.7440284333641
1150.2252252252242,764.8081251896162,760.8710289282574
1152.059059059058,765.4439586725813,761.9957432787312
1153.892892892892,766.117181732796,763.1181321166773
1155.7267267267257,766.8478588942677,764.2381562444405
1157.5605605605595,767.6443409224838,765.3557766345527
1159.3943943943934,768.4808406434087,766.4709544294722
1161.2282282282272,769.3204678489021,767.5836509413189
1163.0620620620612,770.2018453617677,768.6938276516073
