x_spline,y_spline,x_bptt,y_bptt
-0.03764499044243966,-0.005194109404040904,-0.0376955429028321,-0.006245315383946523
-0.03758520406026108,-0.005094668477909121,-0.037632740046117524,-0.0061951459314925125
-0.03752600561710196,-0.004994905663598374,-0.03757054305488994,-0.006143027279024726
-0.03746745450597214,-0.004894798460468135,-0.03750894311877497,-0.00608898397350145
-0.03740961011988149,-0.004794324367877882,-0.03744793148257835,-0.0060330404376560485
-0.03735253185183983,-0.004693460885187094,-0.03738749944615788,-0.005975220970251029
-0.03729627909485702,-0.004592185511755244,-0.037327638364295576,-0.0059155497463320925
-0.03724091124194292,-0.004490475746941811,-0.037268339646569684,-0.005854050817482201
-0.03718648768610736,-0.004388309090106271,-0.037209594757226794,-0.005790748112075632
-0.0371330678203602,-0.004285663040608098,-0.03715139521505389,-0.0057256654355320406
-0.03708071103771128,-0.004182515097806773,-0.03709373259325039,-0.005658826470570519
-0.037029476731170456,-0.004078842761061769,-0.03703659851930027,-0.005590254777463651
-0.03697942429374758,-0.003974623529732564,-0.036979984674844105,-0.005519973794291579
-0.03693061311845248,-0.0038698349031786343,-0.0369238827955511,-0.005448006837196057
-0.03688310102385371,-0.003764455087223727,-0.03686828467099124,-0.005374377100634516
-0.036836893356586825,-0.0036584858322628935,-0.0368131821445073,-0.005299107657634115
-0.03679193196242259,-0.003551957382031402,-0.036758567113086914,-0.005222221460045806
-0.0367481548817077,-0.0034449016877884193,-0.036704431527234675,-0.005143741338798396
-0.036705500154788795,-0.003337350700793116,-0.036650767390844184,-0.005063690004152599
-0.036663905822012566,-0.003229336372304659,-0.036597566761070115,-0.004982090045955102
-0.03662330992372567,-0.0031208906535822156,-0.03654482174820029,-0.004898963933892621
-0.036583650500274775,-0.003012045495884957,-0.03649252451552777,-0.004814334017745959
-0.036544865592006544,-0.0029028328504720484,-0.03644066727922288,-0.004728222527644068
-0.036506893239267646,-0.0027932846686026594,-0.03638924230820529,-0.004640651574318108
-0.03646967148240476,-0.002683432901535959,-0.03633824192401613,-0.004551643149355509
-0.036433138361764525,-0.002573309500531114,-0.03628765850068999,-0.004461219125454021
-0.03639723191769363,-0.0024629464168472942,-0.03623748446462704,-0.004369401256675786
-0.03636189007225467,-0.002352375640344587,-0.03618771229446506,-0.0042762111787013855
-0.03632703754429422,-0.002241633469631579,-0.03613833452095156,-0.00418167040908391
-0.03629257398596455,-0.0021307643836027176,-0.03608934372681579,-0.004085800347503015
-0.03625839624819572,-0.0020198137753056253,-0.03604073254664085,-0.0039886222760189705
-0.03622440118191783,-0.0019088270377879309,-0.035992493666735736,-0.0038901573593267385
-0.03619048563806095,-0.0017978495640972622,-0.03594461982500742,-0.003790426645010019
-0.03615654646755515,-0.0016869267472812428,-0.03589710381083293,-0.0036894510637953113
-0.0361224805213305,-0.0015761039803875003,-0.03584993846493139,-0.003587251429805978
-0.036088184650317094,-0.0014654266564636633,-0.03580311667923611,-0.0034838484408163035
-0.03605355570544498,-0.001354940168557355,-0.03575663139676664,-0.003379262678505546
-0.03601849053764426,-0.0012446899097162045,-0.03571047561150087,-0.00327351460871201
-0.03598288599784499,-0.001134721272987836,-0.03566464236824705,-0.0031666245816870868
-0.03594663893697726,-0.001025079651419877,-0.0356191247625159,-0.0030586128323493345
-0.03590964620597114,-0.0009158104380599559,-0.03557391594039267,-0.002949499480538529
-0.035871804655756706,-0.0008069590259556961,-0.03552900909840919,-0.002839304531269712
-0.035833011230370915,-0.0006985707561087164,-0.035484397483415954,-0.0027280478749872735
-0.03579320812492484,-0.0005906656745303642,-0.03544007439245419,-0.002615749287818988
-0.03575245545436167,-0.00048319791098432724,-0.03539603317262792,-0.002502428431830088
-0.03571083229874161,-0.00037611099388484956,-0.03535226722097605,-0.0023881048552773223
-0.03566841773812483,-0.00026934845164617064,-0.035308769984344394,-0.002272797992863008
-0.03562529085257152,-0.00016285381268253484,-0.0352655349592578,-0.0021565271659890984
-0.035581530722141846,-5.6570605408185866e-05,-0.03522255569179217,-0.002039311583011236
-0.035537216426896,4.955764176263643e-05,-0.03517982577744656,-0.0019211703394928148
-0.035492427046894176,0.00015558740041568805,-0.03513733886101524,-0.001802122418459038
-0.035447241662196545,0.000261575142136725,-0.035095088636459756,-0.001682186690650984
-0.03540173935286328,0.00036757733851150773,-0.035053068846781,-0.0015613819147796484
-0.035355999198954595,0.0004736504611257904,-0.03501127328389128,-0.0014397267377800303
-0.03531010028053063,0.0005798509815653337,-0.034969695788486396,-0.0013172396950651656
-0.035264121677651604,0.0006862353714158937,-0.03492833024991772,-0.0011939392107801986
-0.03521814247037767,0.0007928601022632257,-0.03488717060606421,-0.001069843598056449
-0.03517224173876904,0.0008997816456930909,-0.03484621084320454,-0.0009449710592654495
-0.035126498562885876,0.0010070564732912435,-0.03480544499588917,-0.0008193396862730302
-0.03508099202278835,0.0011147410566434434,-0.034764867146812345,-0.0006929674606933551
-0.03503580119853668,0.0012228918673354468,-0.034724471426684236,-0.000565872254142996
-0.03499100517019101,0.0013315653769530105,-0.034684252014102974,-0.00043807182849499304
-0.03494668299451105,0.001440818014299832,-0.03464420313542674,-0.00030958383613290553
-0.03490289091482925,0.001550664320439166,-0.03460431906464579,-0.00018042582020486985
-0.0348596196859612,0.001660998592948969,-0.0345645941232546,-5.061521487766986e-05
-0.03481684838458662,0.0017716936871785252,-0.03452502268012385,7.983065440921294e-05
-0.034774556087385236,0.001882622458477116,-0.034485599151372545,0.00021089457068952915
-0.03473272187103675,0.001993657762194022,-0.03444631800024009,0.0003425594252162243
-0.034691324812220925,0.0021046724536785285,-0.0344071737369583,0.0004748082172073547
-0.03465034398761746,0.0022155393882799146,-0.03436816091862355,0.0006076240535920355
-0.034609758473906085,0.002326131421347465,-0.03432927414906877,0.0007409901487563991
-0.03456954734776654,0.0024363214082304616,-0.034290508078735564,0.0008748898242895032
-0.03452968968587854,0.002545982204278184,-0.03425185740454626,0.001009306508729304
-0.0344901645649218,0.002654986664839917,-0.034213316869775974,0.0011442237373085716
-0.03445095106157607,0.002763207645264942,-0.034174881263924685,0.001279625151700844
-0.03441202825252106,0.0028705180009025422,-0.0341365454225893,0.001415494499766374
-0.034373375214436494,0.002976790587101999,-0.03409830422733574,0.001551815635298044
-0.034334971024002105,0.003081898259212593,-0.03406015260557098,0.0016885725177673335
-0.03429679475789761,0.0031857138725836097,-0.034022085530415136,0.001825749212070257
-0.03425882549280275,0.003288110282564329,-0.033984098020573526,0.0019633298882732776
-0.034221052047431,0.0033889798545069854,-0.03394618514020876,0.002101298821359279
-0.03418363962644343,0.0034885681952372353,-0.03390834199881277,0.0022396403909734994
-0.034146906805573585,0.003587428062033235,-0.03387056375107892,0.002378339081169462
-0.03411117727138891,0.0036861224474470837,-0.03383284559677404,0.0025173794801549108
-0.03407677471045683,0.003785214344030877,-0.03379518278061052,0.0026567462800377757
-0.03404402280934478,0.0038852667443367195,-0.03375757059211836,0.002796424276572094
-0.03401324525462019,0.003986842640916707,-0.03372000436551726,0.0029363983689039645
-0.0339847657328505,0.004090505026322939,-0.03368247947958866,0.0030766535593174504
-0.03395890793060313,0.004196816893107513,-0.03364499135754784,0.003217174952980583
-0.03393599553444554,0.004306341233822526,-0.03360753546691597,0.003357947757691243
-0.033916352230945135,0.004419641041020083,-0.03357010731939218,0.003498957283623148
-0.03390030170666936,0.004537279307252277,-0.03353270247072562,0.0036401889430717517
-0.033888167648185655,0.004659819025071212,-0.03349531652058758,0.003781628250200224
-0.033880273742061436,0.004787823187028983,-0.03345794511244346,0.003923260820785351
-0.03387694367486415,0.004921854785677684,-0.03342058393342495,0.004065072371963505
-0.03387850113316122,0.005062476813569425,-0.033383228714202025,0.004207048721976589
-0.0338852698035201,0.005210252263256298,-0.03334587522885503,0.004349175789917944
-0.03389711459458496,0.00536513300775384,-0.033308519294746756,0.00449143959547833
-0.03391069014024657,0.00552279464277616,-0.033271156772394526,0.004633826258691839
-0.03392127989193454,0.005677086267277685,-0.03323378356534222,0.004776321999681834
-0.03392416215791972,0.005821850129218859,-0.03319639562003238,0.004918913138406918
-0.03391461524647295,0.005950928476560135,-0.03315898892567827,0.005061586094406845
-0.03388791746586509,0.00605816355726196,-0.03312155951413594,0.005204327386548475
-0.03383934712436698,0.0061373976192847755,-0.033084103459776276,0.005347123632771714
-0.03376418253024949,0.006182472910589031,-0.03304661687935713,0.005489961549835441
-0.033658475472512016,0.006188507101484578,-0.03300909593189531,0.005632827953063479
-0.03354119153719343,0.006188401310238287,-0.032971536818538726,0.005775709756090496
-0.033450110283087434,0.006244290763190043,-0.032933935782438375,0.005918593970607984
-0.03338651837416194,0.006348929851817286,-0.03289628910862049,0.006061467706110175
-0.03333960474825594,0.0064722786454214495,-0.032858593123858554,0.006204318169639985
-0.03330209575470996,0.006595792513720244,-0.03282084419654539,0.006347132665534954
-0.03327195026196633,0.006717919369645985,-0.03278303873656525,0.006489898595173198
-0.033247548264114184,0.006838474726633374,-0.03274517319516583,0.006632603456719351
-0.03322726975524266,0.006957274098117097,-0.03270724406483039,0.006775234844870479
-0.03320949472944088,0.007074132997531853,-0.032669247879149786,0.006917780450602054
-0.03319260318079801,0.007188866938312329,-0.032631181212694586,0.007060228060913868
-0.03317497510340315,0.0073012914338932205,-0.032593040680887087,0.007202565558575985
-0.033154990491345473,0.007411221997709224,-0.032554822939873405,0.007344780921874692
-0.033131029338714084,0.0075184741431950294,-0.03251652468639555,0.007486862224358421
-0.03310147163959814,0.007622863383785332,-0.03247814265766349,0.007628797634583701
-0.03306469738808677,0.007724205232914823,-0.03243967363122721,0.007770575415861097
